Year,Actual,Local_Newton_Forward,Local_Newton_Backward,Local_Lagrange,Local_Poly_Regression
1950,34.199432373046875,-20.0,-20.0,-20,100.0
1951,34.787261962890625,-20.0,-20.0,-20,100.0
1952,34.49945068359375,-20.0,-20.0,-20,89.49844996134412
1953,34.9609375,-20.0,-20.0,-20,75.80906018343819
1954,34.880859375,-20.0,-20.0,-20,64.58682863640051
1955,35.6121826171875,-20.0,-20.0,-20,55.58375560876088
1956,34.711395263671875,-20.0,-20.0,-20,48.555154627019675
1957,34.549224853515625,-20.0,-20.0,-20,43.25965245564777
1958,34.92559814453125,-20.0,-20.0,-20,39.45918909708658
1959,35.725189208984375,25.2711181640625,-20.0,-20,36.91901779174805
1960,35.38555908203125,35.38555908203125,-20.0,-20,35.40770501801462
1961,34.82171630859375,34.82171630859375,-20.0,-20,34.69713049223929
1962,34.310699462890625,34.310699462890625,-17.985198974609375,-20,34.56248716874556
1963,34.947540283203125,34.947540283203125,14.504180908203125,-20,34.782281239827476
1964,35.278564453125,35.278564453125,27.2437744140625,-20,35.138332135749586
1965,35.11767578125,35.11767578125,38.44000244140625,100,35.426806214567904
1966,35.583953857421875,35.583953857421875,28.730865478515625,-20,35.273534683954146
1967,34.85296630859375,34.85296630859375,48.86541748046875,100,35.04379199800037
1968,34.78619384765625,34.78619384765625,22.39630126953125,100,34.640747284992436
1969,34.07891845703125,34.07891845703125,27.02142333984375,100,34.56831670323491
1970,35.4935302734375,35.4935302734375,55.8841552734375,-20,34.892233332514245
1971,34.82891845703125,34.82891845703125,12.761474609375,100,34.62267569339637
1972,33.260772705078125,33.260772705078125,49.699981689453125,-20,34.42138014624129
1973,35.191680908203125,35.191680908203125,32.397857666015625,100,33.97274740640219
1974,33.790740966796875,33.790740966796875,33.261566162109375,100,34.371614910307386
1975,34.662445068359375,34.662445068359375,29.179351806640625,100,34.76890113136985
1976,35.09930419921875,35.09930419921875,37.1048583984375,100,34.732292918415816
1977,35.033660888671875,35.033660888671875,38.849517822265625,100,35.05797025342008
1978,34.20623779296875,34.20623779296875,31.83270263671875,-20,34.41471636553347
1979,34.05963134765625,34.05963134765625,31.31927490234375,100,34.184861170781126
1980,34.670166015625,34.670166015625,44.6669921875,100,34.376460005194595
1981,34.71539306640625,34.71539306640625,27.772216796875,-20,34.62515673286471
1982,34.242828369140625,34.242828369140625,29.416900634765625,-20,34.74432655433556
1983,35.244842529296875,35.244842529296875,43.576324462890625,-20,34.83192978896104
1984,34.99609375,34.99609375,35.67291259765625,-20,34.800077182389956
1985,34.017974853515625,34.017974853515625,25.958038330078125,100,34.61046545846121
1986,34.632537841796875,34.632537841796875,46.906707763671875,100,34.45947460488323
1987,35.268951416015625,35.268951416015625,29.663787841796875,100,34.764668254109175
1988,34.426025390625,34.426025390625,36.01239013671875,100,35.08624900058234
1989,35.379730224609375,35.379730224609375,18.989227294921875,-20,35.118664563992326
1990,35.366668701171875,35.366668701171875,54.452911376953125,-20,35.297651167039746
1991,35.32000732421875,35.32000732421875,32.958251953125,100,34.94839388364321
1992,33.251129150390625,33.251129150390625,37.211029052734375,100,34.13453096331972
1993,34.6141357421875,34.6141357421875,26.6646728515625,100,34.293460152365945
1994,35.51763916015625,35.51763916015625,42.8970947265625,100,35.21410072623909
1995,36.123626708984375,36.123626708984375,37.615081787109375,100,36.02707003308581
1996,35.207061767578125,35.207061767578125,35.991546630859375,-20,35.61490665782582
1997,35.51971435546875,35.51971435546875,31.36248779296875,-20,35.5376470656622
1998,36.09161376953125,36.09161376953125,37.93792724609375,-20,35.86903113823433
1999,36.3974609375,36.3974609375,35.5823974609375,-20,36.30231016745299
2000,35.88775634765625,35.88775634765625,34.58367919921875,100,36.09617258047129
2001,35.7872314453125,35.7872314453125,36.6121826171875,100,35.79561535723798
2002,35.76251220703125,35.76251220703125,32.0936279296875,100,35.65483634915703
2003,35.612274169921875,35.612274169921875,45.998626708984375,-20,35.67316383923287
2004,35.646453857421875,35.646453857421875,24.316314697265625,100,35.51854284707602
2005,35.24249267578125,35.24249267578125,41.39471435546875,-20,35.63443713167529
2006,36.33026123046875,36.33026123046875,35.7308349609375,-20,35.78883183466924
2007,35.558868408203125,35.558868408203125,33.170196533203125,100,35.83133605032256
2008,35.670257568359375,35.670257568359375,34.711761474609375,100,35.782359961307414
2009,35.8438720703125,35.8438720703125,35.3646240234375,100,35.679343252471
2010,35.604248046875,35.604248046875,35.604248046875,100,35.650960980039656
2011,35.7923583984375,86.88339233398438,11.314666748046875,100,35.903282165527344
2012,35.880523681640625,100.0,-20.0,100,36.71976979573567
2013,34.56549072265625,100.0,-20.0,100,38.46128082275389
2014,36.136993408203125,100.0,-20.0,100,41.566066163958894
2015,35.945068359375,100.0,-20.0,100,46.54977070201521
2016,35.762359619140625,100.0,-20.0,100,54.00543328487504
2017,35.94732666015625,100.0,-20.0,100,64.60348672577814
2018,35.869598388671875,100.0,-20.0,100,79.09175780325205
2019,35.79632568359375,100.0,-20.0,100,98.29546726111184
2020,34.893768310546875,100.0,-20.0,100,100.0
